"ID","AUCTION_DATE","BID_GROUP","num_bids"
15018644,2019-01-25,"automated",15
15018644,2019-01-25,"live",49
50788163,2019-02-08,"automated",8
50788163,2019-02-08,"live",18
34424594,2019-02-08,"automated",18
34424594,2019-02-08,"live",15
17434602,2019-02-08,"automated",40
17434602,2019-02-08,"live",12
80171985,2019-02-05,"live",1
80171985,2019-02-05,"automated",7
52672056,2019-01-21,"automated",39
52672056,2019-01-21,"live",22
65026184,2019-01-18,"automated",34
65026184,2019-01-18,"live",14
53779493,2019-01-16,"automated",7
53779493,2019-01-16,"live",30
22844994,2019-02-08,"automated",21
22844994,2019-02-08,"live",10
42489473,2019-01-16,"automated",31
42489473,2019-01-16,"live",7
98189674,2019-01-29,"automated",38
98189674,2019-01-29,"live",9
54949980,2019-01-15,"automated",12
54949980,2019-01-15,"live",1
21975510,2019-01-22,"automated",21
81349127,2019-01-23,"automated",16
81349127,2019-01-23,"live",8
80593234,2019-01-31,"automated",29
80593234,2019-01-31,"live",8
70126959,2019-02-05,"automated",23
70126959,2019-02-05,"live",11
14791275,2019-02-05,"automated",31
14791275,2019-02-05,"live",33
10666628,2019-01-17,"automated",3
10666628,2019-01-17,"live",7
13003178,2019-01-30,"automated",23
13003178,2019-01-30,"live",27
48649920,2019-02-04,"automated",46
48649920,2019-02-04,"live",13
31986165,2019-01-15,"automated",10
31986165,2019-01-15,"live",1
85456280,2019-02-07,"automated",47
85456280,2019-02-07,"live",2
51391432,2019-01-17,"automated",8
30262653,2019-01-23,"automated",15
36529085,2019-01-29,"automated",12
36529085,2019-01-29,"live",9
86031233,2019-01-22,"automated",41
86031233,2019-01-22,"live",15
41469155,2019-02-05,"automated",48
41469155,2019-02-05,"live",25
85942201,2019-01-24,"automated",44
85942201,2019-01-24,"live",50
38799575,2019-01-25,"automated",39
36230736,2019-01-16,"automated",27
36230736,2019-01-16,"live",5
17065893,2019-01-14,"automated",62
17065893,2019-01-14,"live",13
27719021,2019-02-07,"automated",21
27719021,2019-02-07,"live",12
28178775,2019-01-16,"live",2
28178775,2019-01-16,"automated",6
21460011,2019-01-24,"automated",20
21460011,2019-01-24,"live",15
18872678,2019-01-24,"automated",31
40143213,2019-02-06,"automated",26
40143213,2019-02-06,"live",30
81993200,2019-01-24,"automated",3
59385951,2019-01-24,"automated",61
59385951,2019-01-24,"live",11
68553000,2019-01-22,"automated",18
68553000,2019-01-22,"live",24
82502808,2019-02-05,"automated",23
82502808,2019-02-05,"live",24
56816017,2019-02-07,"automated",28
56816017,2019-02-07,"live",5
62125915,2019-01-31,"automated",50
62125915,2019-01-31,"live",13
85721722,2019-02-01,"automated",21
85721722,2019-02-01,"live",24
54555638,2019-02-01,"automated",30
54555638,2019-02-01,"live",14
89960509,2019-02-08,"automated",18
89960509,2019-02-08,"live",3
19602449,2019-02-06,"automated",88
19602449,2019-02-06,"live",1
20890864,2019-02-04,"automated",12
50125228,2019-01-30,"automated",34
50125228,2019-01-30,"live",6
18966978,2019-01-28,"automated",11
18966978,2019-01-28,"live",19
70467463,2019-01-23,"automated",4
70467463,2019-01-23,"live",21
50087330,2019-02-08,"automated",33
50087330,2019-02-08,"live",10
47296668,2019-02-08,"automated",46
47296668,2019-02-08,"live",1
40270479,2019-01-21,"automated",20
40270479,2019-01-21,"live",15
97265876,2019-02-05,"automated",23
97265876,2019-02-05,"live",13
30279806,2019-01-24,"automated",96
30279806,2019-01-24,"live",40
67708000,2019-01-18,"automated",9
67708000,2019-01-18,"live",7
