"BUYER","BUYER_STATE","BUYER_COUNTRY"
1309,"CA","USA"
1361,"CA","USA"
1529,"CA","USA"
1537,"WA","USA"
1547,"MI","USA"
1551,"CA","USA"
1611,"OR","USA"
1622,"OR","USA"
1624,"CA","USA"
1640,"WI","USA"
1642,"ID","USA"
1670,"CA","USA"
1691,"TX","USA"
1696,"IN","USA"
1698,"YC","MEX"
1706,"CA","USA"
1791,"FL","USA"
1862,"NE","USA"
1885,"CA","USA"
1893,"AZ","USA"
1903,"CA","USA"
2035,"CA","USA"
2074,"UT","USA"
2087,"GN","MEX"
2236,"TX","USA"
2244,"KY","USA"
2245,"NE","USA"
2246,"CA","USA"
2247,"IA","USA"
2248,"ME","USA"
2249,"AZ","USA"
2250,"PN","PAN"
2251,"GA","USA"
2252,"FL","USA"
2253,"JL","MEX"
2254,"AZ","USA"
2255,"GA","USA"
2256,"OK","USA"
2257,"CA","USA"
2258,"KY","USA"
2259,"TM","MEX"
2260,"IL","USA"
2261,"AR","USA"
2262,"NC","USA"
2263,"IA","USA"
2264,"CA","USA"
2265,"CA","USA"
2266,"TX","USA"
2267,"GA","USA"
2268,"TX","USA"
2269,"CH","MEX"
2270,"AR","USA"
2271,"AL","USA"
2272,"AZ","USA"
2273,"TN","USA"
2274,"HN","HND"
2275,"WA","USA"
2276,"BJ","MEX"
2278,"FL","USA"
2279,"NC","USA"
2280,"FL","USA"
2281,"MN","USA"
2282,"IN","USA"
2283,"AL","USA"
2285,"TN","USA"
2286,"MI","USA"
2287,"CO","USA"
2289,"AR","USA"
2291,"TX","USA"
2292,"AL","USA"
2293,"TM","MEX"
2294,"AZ","USA"
2295,"TX","USA"
2296,"HN","HND"
2297,"SC","USA"
2298,"AR","USA"
2299,"GA","USA"
2302,"BS","BHS"
2303,"BJ","MEX"
2304,"IN","USA"
2305,"IL","USA"
2306,"NY","USA"
2307,"BJ","MEX"
2308,"TM","MEX"
2309,"CA","USA"
2310,"AR","USA"
2311,"GH","GHA"
2312,"NJ","USA"
2314,"IA","USA"
2315,"CO","USA"
2316,"AL","USA"
2318,"IN","USA"
2319,"HN","HND"
2320,"MA","USA"
2321,"QC","CAN"
2322,"EG","EGY"
2323,"HN","HND"
2324,"CA","USA"
2325,"IN","USA"
2326,"IN","USA"
2327,"NB","CAN"
2328,"ON","CAN"
2330,"CA","USA"
2331,"NM","USA"
2333,"GT","GTM"
2334,"CH","MEX"
2335,"GT","GTM"
2336,"UT","USA"
2337,"BS","BHS"
2338,"NY","USA"
2339,"FL","USA"
2340,"OR","USA"
2341,"NL","MEX"
2342,"HN","HND"
2343,"FL","USA"
2344,"AM","ARM"
2345,"OR","USA"
2346,"GT","GTM"
2347,"OK","USA"
2348,"QC","CAN"
2349,"TX","USA"
2350,"SC","USA"
2351,"GT","GTM"
2352,"AL","USA"
2355,"LA","USA"
2356,"CA","USA"
2357,"CA","USA"
2358,"AR","USA"
2359,"NE","USA"
2361,"NC","USA"
2362,"TX","USA"
2363,"FL","USA"
2364,"TX","USA"
2365,"FL","USA"
2366,"FL","USA"
2367,"CO","USA"
2369,"FL","USA"
2370,"CH","MEX"
2373,"OH","USA"
2375,"AL","USA"
2377,"MA","USA"
2378,"AR","USA"
2379,"BZ","BLZ"
2380,"FL","USA"
2381,"NJ","USA"
2382,"OK","USA"
2383,"IL","USA"
2384,"AL","USA"
2385,"FL","USA"
2386,"BZ","BLZ"
2387,"CH","MEX"
2388,"MO","USA"
2389,"HN","HND"
2390,"NC","USA"
2391,"HN","HND"
2392,"NY","USA"
2393,"MO","USA"
2394,"TN","USA"
2395,"DO","DOM"
2396,"TN","USA"
2397,"GA","USA"
2398,"CA","USA"
2399,"IN","USA"
2400,"GT","GTM"
2402,"NJ","USA"
2403,"CA","USA"
2404,"CH","MEX"
2405,"GT","GTM"
2407,"AR","USA"
2408,"KY","USA"
2409,"NV","USA"
2410,"CH","MEX"
2411,"OK","USA"
2412,"HN","HND"
2413,"IN","USA"
2414,"TM","MEX"
2415,"CO","USA"
2416,"CA","USA"
2417,"TX","USA"
2418,"CA","USA"
2419,"MX","MEX"
2420,"GT","GTM"
2421,"BJ","MEX"
2422,"AR","USA"
2423,"CH","MEX"
2424,"FL","USA"
2425,"NS","CAN"
2426,"UT","USA"
2427,"CR","CRI"
2428,"AK","USA"
