"ID","HIGH_BID","INVOICE_DATE","BUYER_RELISTS","BUYER"
10231805,1420,2019-02-05,0,9254
10257798,945,2019-01-15,0,3420
10268906,8190,2019-02-04,0,3658
10288600,4040,2019-01-28,0,4578
10344012,11655,2019-01-18,0,4594
10363353,12705,2019-02-05,0,5908
10366646,15645,2019-02-04,0,5034
10366743,7455,2019-01-22,0,2351
10385429,4670,2019-02-06,0,6322
10394748,2100,2019-02-05,0,3859
10396036,4830,2019-02-05,0,8768
10396149,945,2019-02-07,0,4588
10396522,11025,2019-01-31,0,5011
10409381,1785,2019-02-08,0,3811
10430096,655,2019-01-28,0,7778
10435509,1995,2019-01-21,0,8492
10445369,2835,2019-01-15,0,9660
10446398,18690,2019-02-06,0,6686
10449895,3620,2019-02-07,0,7410
10451595,6090,2019-01-31,0,2326
10457042,7350,2019-01-16,0,4294
10461109,8400,2019-01-25,0,6606
10463102,7245,2019-01-14,0,7370
10466127,10290,2019-02-07,0,9893
10467212,11865,2019-01-15,0,11060
10467805,7245,2019-02-07,0,7607
10475628,4670,2019-02-08,0,6758
10476994,1995,2019-01-22,0,6367
10479146,680,2019-01-17,0,7778
10480876,7875,2019-02-04,0,10060
10481571,2310,2019-01-15,0,8433
10490085,2835,2019-01-18,0,5409
10495331,2415,2019-01-28,0,4133
10498310,735,2019-02-08,0,5913
10499927,7875,2019-01-16,0,7525
10515124,1840,2019-01-14,0,6552
10515892,1630,2019-02-05,0,3541
10519744,11760,2019-02-01,0,8931
10528057,1260,2019-01-16,0,5817
10528712,3200,2019-01-15,0,3025
10530219,8925,2019-02-04,0,6606
10530901,7665,2019-01-15,0,7855
10534696,13335,2019-01-21,0,9680
10536515,1310,2019-01-17,0,5203
10542217,790,2019-02-01,0,7191
10542621,6615,2019-01-22,0,4712
10544992,2780,2019-01-14,0,11001
10549366,5145,2019-01-24,0,11105
10551535,2520,2019-01-29,0,2733
10551973,2680,2019-01-22,0,10411
10552751,1470,2019-01-29,0,7874
10554477,4880,2019-02-01,0,2318
10555427,3150,2019-01-18,0,10320
10556765,21525,2019-02-08,0,7840
10558074,1470,2019-02-04,0,10092
10558201,2415,2019-01-18,0,5647
10558863,5880,2019-02-07,0,7399
10560761,1420,2019-01-17,0,7975
10561938,1420,2019-02-01,0,5696
10561952,8400,2019-01-17,0,5997
10564569,7350,2019-02-05,0,10608
10565584,1940,2019-01-17,0,9691
10565830,64575,2019-01-23,0,10440
10566987,2260,2019-01-18,0,6443
10568003,2570,2019-01-23,0,4324
10570589,2680,2019-01-30,0,3164
10573844,8925,2019-01-16,0,3443
10573901,4460,2019-01-16,0,3714
10574371,22995,2019-02-05,0,6876
10574910,4935,2019-01-22,0,6606
10576120,3465,2019-01-24,0,9405
10576725,14700,2019-01-28,0,3092
